,Path,Label,Daemon/Agent,Program,Argument,maxCPU,UserName,GroupName,Permission(8)
63,/System/Library/LaunchAgents/com.apple.fontd.useragent.plist,com.apple.xtyped,agent,x,['/System/Library/Frameworks/ApplicationServices.framework/Frameworks/ATS.framework/Support/fontd'],x,x,x,x
64,/System/Library/LaunchAgents/com.apple.alf.useragent.plist,com.apple.alf.useragent,agent,x,['/usr/libexec/ApplicationFirewall/Firewall'],x,x,x,x
65,/System/Library/LaunchAgents/com.apple.ScriptMenuApp.plist,com.apple.ScriptMenuApp,agent,x,"['/System/Library/CoreServices/Script Menu.app/Contents/MacOS/Script Menu', 'launchd']",x,x,x,x
66,/System/Library/LaunchAgents/com.apple.AccessibilityVisualsAgent.plist,com.apple.AccessibilityVisualsAgent,agent,x,['/System/Library/PrivateFrameworks/AccessibilitySupport.framework/Versions/A/Resources/AccessibilityVisualsAgent.app/Contents/MacOS/AccessibilityVisualsAgent'],x,x,x,x
67,/System/Library/LaunchAgents/com.apple.imklaunchagent.plist,com.apple.imklaunchagent,agent,/System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent,x,x,x,x,x
68,/System/Library/LaunchAgents/com.apple.security.agent.plist,com.apple.security.agent,agent,x,['/System/Library/Frameworks/Security.framework/Versions/A/MachServices/SecurityAgent.bundle/Contents/MacOS/SecurityAgent'],x,x,x,x
69,/System/Library/LaunchAgents/com.apple.routined.plist,com.apple.routined,agent,x,"['/usr/libexec/routined', 'LAUNCHED_BY_LAUNCHD']",x,x,x,x
70,/System/Library/LaunchAgents/com.apple.netauth.user.auth.plist,com.apple.netauth.user.auth,agent,x,['/System/Library/CoreServices/NetAuthAgent.app/Contents/MacOS/NetAuthSysAgent'],x,x,x,x
71,/System/Library/LaunchAgents/com.apple.AOSPushRelay.plist,com.apple.AOSPushRelay,agent,/System/Library/PrivateFrameworks/AOSKit.framework/Helpers/AOSPushRelay.app/Contents/MacOS/AOSPushRelay,x,x,x,x,x
72,/System/Library/LaunchAgents/com.apple.FontWorker.plist,com.apple.FontWorker,agent,/System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker,x,x,x,x,x
73,/System/Library/LaunchAgents/com.openssh.ssh-agent.plist,com.openssh.ssh-agent,agent,x,"['/usr/bin/ssh-agent', '-l']",x,x,x,x
74,/System/Library/LaunchAgents/com.apple.audio.AudioComponentRegistrar.plist,com.apple.audio.AudioComponentRegistrar,agent,x,['/System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar'],x,x,x,x
75,/System/Library/LaunchAgents/com.apple.ManagedClientAgent.enrollagent.plist,com.apple.ManagedClientAgent.enrollagent,agent,x,"['/System/Library/CoreServices/ManagedClient.app/Contents/Resources/ManagedClientAgent', '-j']",x,x,x,x
76,/System/Library/LaunchAgents/com.apple.thermaltrap.plist,com.apple.thermaltrap,agent,/System/Library/CoreServices/ThermalTrap.app/Contents/MacOS/ThermalTrap,[''],x,x,x,x
77,/System/Library/LaunchAgents/com.apple.security.cloudkeychainproxy3.plist,com.apple.security.cloudkeychainproxy3,agent,/System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy,['/System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy'],x,x,x,x
78,/System/Library/LaunchAgents/com.apple.secd.plist,com.apple.secd,agent,x,['/usr/libexec/secd'],x,x,x,54
79,/System/Library/LaunchAgents/com.apple.corespotlightservice.plist,com.apple.corespotlightservice,agent,x,['/System/Library/Frameworks/CoreSpotlight.framework/CoreSpotlightService'],x,x,x,x
